[10:24:27] [LOGGING]	 STARTING LOGGING
[10:24:27] [INIT]	 ==========================================
[10:24:27] [INIT]	 S.A.R.A.H. => MICRO
[10:24:27] [INIT]	 ==========================================
[10:24:27] [INIT]	 Server: http://127.0.0.1:8080
[10:24:27] [INIT]	 Confidence: 0,65
[10:24:27] [INIT]	 ==========================================
[10:24:27] [INIT]	 Starting Server: http://127.0.0.1:8888/
[10:24:27] [HTTP]	 Exception: Failed to start HTTP server
[10:24:27] [WATCHER]	 Stop watching
[10:24:27] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[10:24:27] [GRAMMAR]	 Add to context list: time.xml
[10:24:27] [WATCHER]	 Watching directory: macros
[10:24:27] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[10:24:27] [GRAMMAR]	 Add to context list: jarvis.xml
[10:24:27] [WATCHER]	 Watching directory: plugins
[10:24:27] [WATCHER]	 Start watching
[10:24:27] [GRAMMAR]	 Context: default
[10:24:27] [GRAMMAR]	 Context: time.xml, jarvis.xml
[10:24:27] [GRAMMAR]	 File: Load Grammar to Engine
[10:24:28] [GRAMMAR]	 File: Load: time.xml Enabled: True
[10:24:28] [GRAMMAR]	 File: Load Grammar to Engine
[10:24:28] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[10:24:28] [ENGINE - File]	 Init recognizer
[10:24:28] [ENGINE - File]	 AudioLevel: 0
[10:24:28] [ENGINE - File]	 MaxAlternates: 1
[10:24:28] [ENGINE - File]	 BabbleTimeout: 00:00:00
[10:24:28] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[10:24:28] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[10:24:28] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[10:24:28] [GRAMMAR]	 Default: Load Grammar to Engine
[10:24:28] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[10:24:28] [GRAMMAR]	 Default: Load Grammar to Engine
[10:24:28] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[10:24:28] [ENGINE - Default]	 Init recognizer
[10:24:28] [ENGINE - Default]	 AudioLevel: 0
[10:24:28] [ENGINE - Default]	 MaxAlternates: 1
[10:24:28] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[10:24:28] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[10:24:28] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[10:24:28] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[10:24:28] [ENGINE - Default]	 Start listening
[10:24:28] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[10:24:28] [ENGINE]	 [Default] level: 0 state: Stopped
[10:24:29] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[10:24:29] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[10:24:29] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[10:24:29] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[10:24:29] [ENGINE]	 Restart timeout: 3600000
[10:24:29] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:29] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais => 0,001
[10:24:30] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir => 0,001
[10:24:30] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir la => 0,001
[10:24:30] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir les => 0,001
[10:24:31] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir les film => 0,03890764
[10:24:31] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais => 0,07411235
[10:24:31] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,462296
[10:24:32] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:32] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,3361427
[10:24:33] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER réveilles => 0,2703669
[10:24:33] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle heure => 0,2534957
[10:24:33] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir les => 0,07483333
[10:24:34] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER redémar => 0,1890898
[10:24:34] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fait voir les mail => 0,227357
[10:24:34] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER on veut se téma un => 0,1751016
[10:24:34] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER redémar le PC => 0,2207862
[10:24:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER on veut se téma un film => 0,1511511
[10:24:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme => 0,001
[10:24:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,8263744
[10:24:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,6564444
[10:24:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre => 0,6355047
[10:24:37] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir la => 0,4537804
[10:24:37] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre les mail => 0,7188679
[10:24:37] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9.%20Bonjours%20monsieur%2C%20que%20puije%20faire%20pour%20vous%3F
[10:24:37] [TTS]	 Try speaking ... initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[10:24:37] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:37] [TTS]	 [0] Say: initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[10:24:37] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,1028802
[10:24:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,8688583
[10:24:38] [PLAYER]	 [0]Start Player
[10:24:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER affiche => 0,5292615
[10:24:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER affiche la => 0,599665
[10:24:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER affiche la vue => 0,5169349
[10:24:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER affiche la comunoté => 0,3696063
[10:24:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,3467208
[10:24:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,2909594
[10:24:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle heure => 0,2903606
[10:24:40] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,3480513
[10:24:41] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:41] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre => 0,3161911
[10:24:43] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:43] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER reviens => 0,001
[10:24:43] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va sur le => 0,05008798
[10:24:43] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER éteinds => 0,001
[10:24:44] [PLAYER]	 [0]End Player
[10:24:44] [PLAYER]	 [0]speaking false
[10:24:44] [TTS]	 End speaking
[10:24:44] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER redémar => 0,0800949
[10:24:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,2287482
[10:24:46] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER met a => 0,5384867
[10:24:46] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER met a jour => 0,4627388
[10:24:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[10:24:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle => 0,3259455
[10:24:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER peux tu me donner => 0,3011969
[10:24:48] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER peux tu me donner l'heure => 0,2627102
[10:24:48] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,07526788
[10:24:49] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,06166206
[10:24:49] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,1534774
[10:24:51] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,218188
[10:24:51] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,1742628
[10:24:51] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,9345574
[10:24:52] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,7628806
[10:24:52] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER réveilles => 0,5330097
[10:24:52] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,4828964
[10:24:54] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,404103
[10:24:54] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,1922053
[10:24:55] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,2728564
[10:24:55] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER tu peux => 0,3364074
[10:24:56] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,3807085
[10:24:56] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,294724
[10:24:56] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle heure => 0,28608
[10:24:58] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,1999923
[10:25:00] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais => 0,001
[10:25:00] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER valide => 0,2928769
[10:25:01] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER éteind le => 0,02507618
[10:25:01] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER active ton interface => 0,001
[10:25:01] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER allume l'écrans => 0,001
[11:34:45] [LOGGING]	 STARTING LOGGING
[11:34:45] [INIT]	 ==========================================
[11:34:45] [INIT]	 S.A.R.A.H. => MICRO
[11:34:45] [INIT]	 ==========================================
[11:34:45] [INIT]	 Server: http://127.0.0.1:8080
[11:34:45] [INIT]	 Confidence: 0,65
[11:34:45] [INIT]	 ==========================================
[11:34:45] [INIT]	 Starting Server: http://127.0.0.1:8888/
[11:34:45] [HTTP]	 Exception: Failed to start HTTP server
[11:34:45] [WATCHER]	 Stop watching
[11:34:45] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[11:34:45] [GRAMMAR]	 Add to context list: time.xml
[11:34:45] [WATCHER]	 Watching directory: macros
[11:34:45] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[11:34:45] [GRAMMAR]	 Add to context list: jarvis.xml
[11:34:45] [WATCHER]	 Watching directory: plugins
[11:34:45] [WATCHER]	 Start watching
[11:34:45] [GRAMMAR]	 Context: default
[11:34:45] [GRAMMAR]	 Context: time.xml, jarvis.xml
[11:34:45] [GRAMMAR]	 File: Load Grammar to Engine
[11:34:46] [GRAMMAR]	 File: Load: time.xml Enabled: True
[11:34:46] [GRAMMAR]	 File: Load Grammar to Engine
[11:34:46] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[11:34:46] [ENGINE - File]	 Init recognizer
