[11:43:56] [LOGGING]	 STARTING LOGGING
[11:43:57] [INIT]	 ==========================================
[11:43:57] [INIT]	 S.A.R.A.H. => MICRO
[11:43:57] [INIT]	 ==========================================
[11:43:57] [INIT]	 Server: http://127.0.0.1:8080
[11:43:57] [INIT]	 Confidence: 0,65
[11:43:57] [INIT]	 ==========================================
[11:43:57] [INIT]	 Starting Server: http://127.0.0.1:8888/
[11:43:57] [HTTP]	 Exception: Failed to start HTTP server
[11:43:57] [WATCHER]	 Stop watching
[11:43:57] [GRAMMAR]	 Load file: time.xml : E:\O.V.E.R\macros\time.xml
[11:43:57] [GRAMMAR]	 Add to context list: time.xml
[11:43:57] [WATCHER]	 Watching directory: macros
[11:43:57] [GRAMMAR]	 Load file: jarvis.xml : E:\O.V.E.R\plugins\jarvis\jarvis.xml
[11:43:57] [GRAMMAR]	 Add to context list: jarvis.xml
[11:43:57] [WATCHER]	 Watching directory: plugins
[11:43:57] [WATCHER]	 Start watching
[11:43:57] [GRAMMAR]	 Context: default
[11:43:57] [GRAMMAR]	 Context: time.xml, jarvis.xml
[11:43:57] [GRAMMAR]	 File: Load Grammar to Engine
[11:43:57] [GRAMMAR]	 File: Load: time.xml Enabled: True
[11:43:58] [GRAMMAR]	 File: Load Grammar to Engine
[11:43:58] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[11:43:58] [ENGINE - File]	 Init recognizer
[11:43:58] [ENGINE - File]	 AudioLevel: 0
[11:43:58] [ENGINE - File]	 MaxAlternates: 1
[11:43:58] [ENGINE - File]	 BabbleTimeout: 00:00:00
[11:43:58] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[11:43:58] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[11:43:58] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[11:43:58] [GRAMMAR]	 Default: Load Grammar to Engine
[11:43:58] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[11:43:58] [GRAMMAR]	 Default: Load Grammar to Engine
[11:43:58] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[11:43:58] [ENGINE - Default]	 Init recognizer
[11:43:58] [ENGINE - Default]	 AudioLevel: 0
[11:43:58] [ENGINE - Default]	 MaxAlternates: 1
[11:43:58] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[11:43:58] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[11:43:58] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[11:43:58] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[11:43:58] [ENGINE - Default]	 Start listening
[11:43:58] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[11:43:59] [ENGINE]	 [Default] level: 0 state: Stopped
[11:43:59] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Realtek High Def Channels: 2 Playback: True
[11:43:59] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[11:43:59] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[11:44:00] [ENGINE]	 Restart timeout: 3600000
[11:44:00] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[11:44:00] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,2332588
[11:44:00] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,06849296
[11:44:00] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est => 0,05196454
[11:44:01] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,03401928
[11:44:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[11:44:02] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,001
[11:44:03] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,07663507
[11:44:03] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va sur le => 0,1862657
[11:44:03] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir les => 0,01900177
[11:44:03] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle => 0,001
[11:44:04] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle heure => 0,1548681
[11:44:04] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure => 0,08216009
[11:44:04] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,1489336
[11:44:04] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme l'onglet => 0,001
[11:44:05] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[11:44:06] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle => 0,1416296
[11:44:06] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir => 0,09620478
[11:44:06] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fais voir les => 0,2655484
[11:44:07] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER fait voir images => 0,2301511
