[19:03:49] [LOGGING]	 STARTING LOGGING
[19:03:49] [INIT]	 ==========================================
[19:03:49] [INIT]	 S.A.R.A.H. => MICRO
[19:03:49] [INIT]	 ==========================================
[19:03:49] [INIT]	 Server: http://127.0.0.1:8080
[19:03:49] [INIT]	 Confidence: 0,65
[19:03:49] [INIT]	 ==========================================
[19:03:49] [INIT]	 Starting Server: http://192.168.1.151:8888/
[19:03:49] [INIT]	 Starting Server: http://127.0.0.1:8888/
[19:03:49] [WATCHER]	 Stop watching
[19:03:49] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[19:03:49] [GRAMMAR]	 Add to context list: time.xml
[19:03:50] [WATCHER]	 Watching directory: macros
[19:03:50] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[19:03:50] [GRAMMAR]	 Add to context list: jarvis.xml
[19:03:50] [WATCHER]	 Watching directory: plugins
[19:03:50] [WATCHER]	 Start watching
[19:03:50] [GRAMMAR]	 Context: default
[19:03:50] [GRAMMAR]	 Context: time.xml, jarvis.xml
[19:03:50] [GRAMMAR]	 File: Load Grammar to Engine
[19:03:50] [GRAMMAR]	 File: Load: time.xml Enabled: True
[19:03:50] [GRAMMAR]	 File: Load Grammar to Engine
[19:03:50] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[19:03:50] [ENGINE - File]	 Init recognizer
[19:03:50] [ENGINE - File]	 AudioLevel: 0
[19:03:50] [ENGINE - File]	 MaxAlternates: 1
[19:03:50] [ENGINE - File]	 BabbleTimeout: 00:00:00
[19:03:50] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[19:03:50] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[19:03:50] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[19:03:51] [GRAMMAR]	 Default: Load Grammar to Engine
[19:03:51] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[19:03:51] [GRAMMAR]	 Default: Load Grammar to Engine
[19:03:51] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[19:03:51] [ENGINE - Default]	 Init recognizer
[19:03:51] [ENGINE - Default]	 AudioLevel: 0
[19:03:51] [ENGINE - Default]	 MaxAlternates: 1
[19:03:51] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[19:03:51] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[19:03:51] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[19:03:51] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[19:03:51] [ENGINE - Default]	 Start listening
[19:03:51] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[19:03:51] [ENGINE]	 [Default] level: 0 state: Stopped
[19:03:51] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Périphérique Hig Channels: 2 Playback: True
[19:03:51] [TTS]	 [0]Name: ScanSoft Sebastien_Full_22kHz Culture: fr-FR
[19:03:51] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[19:03:51] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[19:03:51] [ENGINE]	 Restart timeout: 3600000
[19:04:03] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH => 0,001
[19:04:04] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH il => 0,001
[19:04:04] [ENGINE - Default]	 recognizer_SpeechHypothesized SARAH affiche => 0,3818145
[19:04:06] [RTPCLIENT]	 Stop RTPClient
[19:04:06] [RTPCLIENT]	 Stop RTPClient
[19:04:06] [RTPCLIENT]	 Stop RTPClient ... Done
[19:04:06] [RTPCLIENT]	 Stop RTPClient ... Done
[19:04:06] [ENGINE - File]	 Stop listening...done
[19:04:06] [ENGINE - Default]	 Stop listening...done
[19:07:07] [LOGGING]	 STARTING LOGGING
[19:07:07] [INIT]	 ==========================================
[19:07:07] [INIT]	 S.A.R.A.H. => MICRO
[19:07:07] [INIT]	 ==========================================
