[08:23:21] [GRAMMAR]	 Add to context list: jarvis.xml
[08:23:21] [WATCHER]	 Watching directory: plugins
[08:23:21] [WATCHER]	 Start watching
[08:23:21] [GRAMMAR]	 Context: default
[08:23:21] [GRAMMAR]	 Context: time.xml, jarvis.xml
[08:23:21] [GRAMMAR]	 File: Load Grammar to Engine
[08:23:22] [GRAMMAR]	 File: Load: time.xml Enabled: True
[08:23:22] [GRAMMAR]	 File: Load Grammar to Engine
[08:23:22] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[08:23:22] [ENGINE - File]	 Init recognizer
[08:23:22] [ENGINE - File]	 AudioLevel: 0
[08:23:22] [ENGINE - File]	 MaxAlternates: 1
[08:23:22] [ENGINE - File]	 BabbleTimeout: 00:00:00
[08:23:22] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[08:23:22] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[08:23:22] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[08:23:22] [GRAMMAR]	 Default: Load Grammar to Engine
[08:23:22] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[08:23:22] [GRAMMAR]	 Default: Load Grammar to Engine
[08:23:22] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[08:23:22] [ENGINE - Default]	 Init recognizer
[08:23:22] [ENGINE - Default]	 AudioLevel: 0
[08:23:22] [ENGINE - Default]	 MaxAlternates: 1
[08:23:22] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[08:23:22] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[08:23:22] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[08:23:22] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[08:23:22] [ENGINE - Default]	 Start listening
[08:23:22] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[08:23:22] [ENGINE]	 [Default] level: 0 state: Stopped
[08:23:22] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Realtek High Def Channels: 2 Playback: True
[08:23:23] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[08:23:23] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[08:23:23] [ENGINE]	 Restart timeout: 3600000
[08:23:27] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[08:23:29] [RTPCLIENT]	 Stop RTPClient
[08:23:29] [RTPCLIENT]	 Stop RTPClient
[08:23:29] [RTPCLIENT]	 Stop RTPClient ... Done
[08:23:29] [RTPCLIENT]	 Stop RTPClient ... Done
[08:23:29] [ENGINE - File]	 Stop listening...done
[08:23:30] [ENGINE - Default]	 Stop listening...done
[08:23:30] [ENGINE - Default]	 RecognizeCompleted (23:30.0): <null>
[08:23:40] [LOGGING]	 STARTING LOGGING
[08:23:41] [INIT]	 ==========================================
[08:23:41] [INIT]	 S.A.R.A.H. => MICRO
[08:23:41] [INIT]	 ==========================================
[08:23:41] [INIT]	 Server: http://127.0.0.1:8080
[08:23:41] [INIT]	 Confidence: 0,65
[08:23:41] [INIT]	 ==========================================
[08:23:41] [INIT]	 Starting Server: http://192.168.43.82:8888/
[08:23:41] [INIT]	 Starting Server: http://127.0.0.1:8888/
[08:23:41] [WATCHER]	 Stop watching
[08:23:41] [GRAMMAR]	 Load file: time.xml : E:\O.V.E.R\macros\time.xml
[08:23:41] [GRAMMAR]	 Add to context list: time.xml
[08:23:41] [WATCHER]	 Watching directory: macros
[08:23:41] [GRAMMAR]	 Load file: jarvis.xml : E:\O.V.E.R\plugins\jarvis\jarvis.xml
[08:23:41] [GRAMMAR]	 Add to context list: jarvis.xml
[08:23:41] [WATCHER]	 Watching directory: plugins
[08:23:41] [WATCHER]	 Start watching
[08:23:41] [GRAMMAR]	 Context: default
[08:23:41] [GRAMMAR]	 Context: time.xml, jarvis.xml
[08:23:41] [GRAMMAR]	 File: Load Grammar to Engine
[08:23:41] [GRAMMAR]	 File: Load: time.xml Enabled: True
[08:23:41] [GRAMMAR]	 File: Load Grammar to Engine
[08:23:41] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[08:23:42] [ENGINE - File]	 Init recognizer
[08:23:42] [ENGINE - File]	 AudioLevel: 0
[08:23:42] [ENGINE - File]	 MaxAlternates: 1
[08:23:42] [ENGINE - File]	 BabbleTimeout: 00:00:00
[08:23:42] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[08:23:42] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[08:23:42] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[08:23:42] [GRAMMAR]	 Default: Load Grammar to Engine
[08:23:42] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[08:23:42] [GRAMMAR]	 Default: Load Grammar to Engine
[08:23:42] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[08:23:42] [ENGINE - Default]	 Init recognizer
[08:23:42] [ENGINE - Default]	 AudioLevel: 0
[08:23:42] [ENGINE - Default]	 MaxAlternates: 1
[08:23:42] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[08:23:42] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[08:23:42] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[08:23:42] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[08:23:42] [ENGINE - Default]	 Start listening
[08:23:42] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[08:23:42] [ENGINE]	 [Default] level: 0 state: Stopped
[08:23:43] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Realtek High Def Channels: 2 Playback: True
[08:23:43] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[08:23:43] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[08:23:43] [ENGINE]	 Restart timeout: 3600000
[08:23:44] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[08:23:45] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[08:23:47] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,1174915
[08:23:48] [RTPCLIENT]	 Stop RTPClient
[08:23:48] [RTPCLIENT]	 Stop RTPClient
[08:23:48] [RTPCLIENT]	 Stop RTPClient ... Done
[08:23:48] [RTPCLIENT]	 Stop RTPClient ... Done
[08:23:48] [ENGINE - File]	 Stop listening...done
[08:23:48] [ENGINE - Default]	 Stop listening...done
