[15:56:32] [LOGGING]	 STARTING LOGGING
[15:56:32] [INIT]	 ==========================================
[15:56:32] [INIT]	 S.A.R.A.H. => MICRO
[15:56:32] [INIT]	 ==========================================
[15:56:32] [INIT]	 Server: http://127.0.0.1:8080
[15:56:32] [INIT]	 Confidence: 0,65
[15:56:32] [INIT]	 ==========================================
[15:56:33] [INIT]	 Starting Server: http://127.0.0.1:8888/
[15:56:33] [HTTP]	 Exception: Failed to start HTTP server
[15:56:33] [WATCHER]	 Stop watching
[15:56:33] [GRAMMAR]	 Load file: time.xml : E:\O.V.E.R\macros\time.xml
[15:56:33] [GRAMMAR]	 Add to context list: time.xml
[15:56:33] [WATCHER]	 Watching directory: macros
[15:56:34] [GRAMMAR]	 Load file: jarvis.xml : E:\O.V.E.R\plugins\jarvis\jarvis.xml
[15:56:34] [GRAMMAR]	 Add to context list: jarvis.xml
[15:56:34] [WATCHER]	 Watching directory: plugins
[15:56:34] [WATCHER]	 Start watching
[15:56:34] [GRAMMAR]	 Context: default
[15:56:34] [GRAMMAR]	 Context: time.xml, jarvis.xml
[15:56:34] [GRAMMAR]	 File: Load Grammar to Engine
[15:56:35] [GRAMMAR]	 File: Load: time.xml Enabled: True
[15:56:35] [GRAMMAR]	 File: Load Grammar to Engine
[15:56:35] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[15:56:35] [ENGINE - File]	 Init recognizer
[15:56:35] [ENGINE - File]	 AudioLevel: 0
[15:56:35] [ENGINE - File]	 MaxAlternates: 1
[15:56:35] [ENGINE - File]	 BabbleTimeout: 00:00:00
[15:56:35] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[15:56:35] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[15:56:35] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[15:56:35] [GRAMMAR]	 Default: Load Grammar to Engine
[15:56:35] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[15:56:36] [GRAMMAR]	 Default: Load Grammar to Engine
[15:56:36] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[15:56:36] [ENGINE - Default]	 Init recognizer
[15:56:36] [ENGINE - Default]	 AudioLevel: 0
[15:56:36] [ENGINE - Default]	 MaxAlternates: 1
[15:56:36] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[15:56:36] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[15:56:36] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[15:56:36] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[15:56:36] [ENGINE - Default]	 Start listening
[15:56:36] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[15:56:36] [ENGINE]	 [Default] level: 0 state: Stopped
[15:56:37] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Realtek High Def Channels: 2 Playback: True
[15:56:37] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
