[09:45:20] [LOGGING]	 STARTING LOGGING
[09:45:20] [INIT]	 ==========================================
[09:45:20] [INIT]	 S.A.R.A.H. => MICRO
[09:45:20] [INIT]	 ==========================================
[09:45:20] [INIT]	 Server: http://127.0.0.1:8080
[09:45:20] [INIT]	 Confidence: 0,65
[09:45:20] [INIT]	 ==========================================
[09:45:20] [INIT]	 Starting Server: http://192.168.145.78:8888/
[09:45:20] [INIT]	 Starting Server: http://127.0.0.1:8888/
[09:45:20] [WATCHER]	 Stop watching
[09:45:20] [GRAMMAR]	 Load file: time.xml : E:\O.V.E.R\macros\time.xml
[09:45:20] [GRAMMAR]	 Add to context list: time.xml
[09:45:20] [WATCHER]	 Watching directory: macros
[09:45:20] [GRAMMAR]	 Load file: jarvis.xml : E:\O.V.E.R\plugins\jarvis\jarvis.xml
[09:45:21] [GRAMMAR]	 Add to context list: jarvis.xml
[09:45:21] [WATCHER]	 Watching directory: plugins
[09:45:21] [WATCHER]	 Start watching
[09:45:21] [GRAMMAR]	 Context: default
[09:45:21] [GRAMMAR]	 Context: time.xml, jarvis.xml
[09:45:21] [GRAMMAR]	 File: Load Grammar to Engine
[09:45:21] [GRAMMAR]	 File: Load: time.xml Enabled: True
[09:45:21] [GRAMMAR]	 File: Load Grammar to Engine
[09:45:21] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[09:45:21] [ENGINE - File]	 Init recognizer
[09:45:21] [ENGINE - File]	 AudioLevel: 0
[09:45:21] [ENGINE - File]	 MaxAlternates: 1
[09:45:21] [ENGINE - File]	 BabbleTimeout: 00:00:00
[09:45:21] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[09:45:21] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[09:45:21] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[09:45:22] [GRAMMAR]	 Default: Load Grammar to Engine
[09:45:22] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[09:45:22] [GRAMMAR]	 Default: Load Grammar to Engine
[09:45:22] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[09:45:22] [ENGINE - Default]	 Init recognizer
[09:45:22] [ENGINE - Default]	 AudioLevel: 0
[09:45:22] [ENGINE - Default]	 MaxAlternates: 1
[09:45:22] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[09:45:22] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[09:45:22] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[09:45:22] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[09:45:22] [ENGINE - Default]	 Start listening
[09:45:22] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[09:45:23] [ENGINE]	 [Default] level: 0 state: Stopped
[09:45:23] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Realtek High Def Channels: 2 Playback: True
[09:45:23] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[09:45:23] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[09:45:23] [ENGINE]	 Restart timeout: 3600000
[09:45:23] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[09:45:24] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER Monte => 0,3689288
[09:45:24] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,2725857
[09:45:24] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER va => 0,5060474
[09:45:25] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,3496903
[09:45:25] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle heure => 0,3322754
[09:45:25] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,2142667
[09:45:26] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=initialisation%20termin%C3%A9.%20Bonjours%20monsieur%2C%20que%20puije%20faire%20pour%20vous%3F
[09:45:26] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle => 0,2798237
[09:45:26] [TTS]	 Try speaking ... initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[09:45:26] [TTS]	 [0] Say: initialisation terminé. Bonjours monsieur, que puije faire pour vous?
[09:45:27] [PLAYER]	 [0]Start Player
[09:45:28] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,1460249
[09:45:28] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,1007082
[09:45:28] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,1446316
[09:45:28] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,5068178
[09:45:29] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle => 0,4961482
[09:45:29] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER quelle heure est il => 0,4147356
[09:45:31] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,1352239
[09:45:33] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il => 0,3911341
[09:45:33] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,6084645
[09:45:33] [PLAYER]	 [0]End Player
[09:45:33] [PLAYER]	 [0]speaking false
[09:45:33] [TTS]	 End speaking
[09:45:34] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle => 0,4895203
[09:45:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[09:45:35] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER Allume le => 0,001
[09:45:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER Monte le => 0,1542012
[09:45:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre le lecteur => 0,05837891
[09:45:36] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle heure => 0,2521484
[09:45:37] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER Met => 0,001
[09:45:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER Monte => 0,1138889
[09:45:38] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[09:45:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme => 0,1820008
[09:45:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER Monte le song de la => 0,1510198
[09:45:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme l'onglet => 0,09616058
[09:45:39] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER redémar l'ordinateur => 0,001
[09:45:40] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ferme l'onglet => 0,06982683
[09:45:41] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre => 0,5663424
[09:45:42] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER ouvre le => 0,6419767
[09:45:42] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est => 0,4175513
[09:45:43] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER il est quelle => 0,3735695
[09:45:44] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,001
[09:45:46] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER met a => 0,2755629
